REGION,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NR,ZONE_NR,PROT,METERS_COMPLETED,SPECIES_CD,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE,survey_type,analysis_group,strat_cora
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,CLA ABRU,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,COL NATA,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,COL NATA,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,DIC STOK,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,DIC STOK,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,DIP LABY,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,DIP LABY,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,EUS FAST,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,EUS FAST,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,FAV FRAG,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,FAV FRAG,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,HEL CUCU,1,0,8,6,1,0,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,HEL CUCU,1,0,21,14,1,25,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,HEL CUCU,1,0,32,10,3,10,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ISO RIGI,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ISO RIGI,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ISO SPE.,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD AURE,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD AURE,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD DECA,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD DECA,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD FORM,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD FORM,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD SENA,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAD SENA,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAN AREO,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MAN AREO,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MEA MEAN,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MEA MEAN,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MON CAVE,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MON CAVE,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MUS ANGU,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MUS ANGU,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MYC ALIC,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MYC ALIC,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MYC FERO,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MYC LAMA,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,MYC LAMA,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,OCU DIFF,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,OCU DIFF,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,OCU SPE.,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ORB ANNU,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ORB ANNU,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ORB FAVE,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ORB FAVE,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ORB FRAN,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,ORB FRAN,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,PHY AMER,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,6,3,1,20,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,21,18,6,35,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,26,21,6,5,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,15,12,12,20,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,12,10,8,5,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,15,8,3,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,26,15,2,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,36,25,4,15,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,10,6,5,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,31,28,20,30,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,51,30,18,55,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,5,4,1,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR ASTR,1,0,63,35,12,35,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR BRAN,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR DIVA,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR DIVA,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR FURC,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR FURC,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR PORI,1,0,9,5,2,0,0,PB,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR PORI,1,0,8,6,1,0,0,N,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR SPE.,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,POR SPE.,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,PSE CLIV,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,PSE CLIV,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,PSE STRI,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,PSE STRI,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SCO CUBE,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SCO CUBE,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SCO LACE,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SCO LACE,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SCO SPE.,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SID RADI,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SID RADI,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SID SIDE,1,0,9,6,3,0,0,P,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SID SPE.,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SID SPE.,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SOL BOUR,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SOL BOUR,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SOL HYAD,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,SOL HYAD,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,STE INTE,0,0,.,.,.,.,.,.,.,NCRMP,MIR_GRP,CFK05
FLK,1415,2022,25.21439,-80.21659,3843463,11,4,2,10,STE INTE,0,0,.,.,.,.,.,AA,A,NCRMP,MIR_GRP,CFK05
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ACR CERV,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ACR CERV,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ACR PALM,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ACR PALM,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA AGAR,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA AGAR,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA FRAG,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA HUMI,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA LAMA,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA LAMA,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,AGA SPE.,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,CLA ABRU,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,COL NATA,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,COL NATA,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,DIC STOK,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,DIC STOK,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,DIP LABY,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,DIP LABY,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,EUS FAST,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,EUS FAST,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,FAV FRAG,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,FAV FRAG,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,HEL CUCU,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,HEL CUCU,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ISO RIGI,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ISO SPE.,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MAD AURE,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MAD DECA,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MAD DECA,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MAD FORM,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MAD SENA,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MAN AREO,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MEA MEAN,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MEA MEAN,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MON CAVE,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MON CAVE,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MUS ANGU,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MYC ALIC,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MYC FERO,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,MYC LAMA,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,OCU DIFF,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,OCU DIFF,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,OCU SPE.,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB ANNU,1,0,13,9,9,15,0,N,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB ANNU,1,0,70,60,70,95,0,N,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB ANNU,1,0,22,18,18,50,0,N,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB ANNU,1,0,10,10,8,0,0,N,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB ANNU,1,0,15,8,10,0,0,N,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB FAVE,1,0,14,10,12,60,0,N,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB FRAN,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,ORB FRAN,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,PHY AMER,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR ASTR,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR ASTR,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR BRAN,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR DIVA,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR FURC,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR FURC,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR PORI,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR PORI,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,POR SPE.,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,PSE CLIV,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,PSE CLIV,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,PSE STRI,0,0,.,.,.,.,.,.,.,MIR,MIR_GRP,CFK01
FLK,9001,2022,24.61778,-81.38014,2472501,8,1,2,10,PSE STRI,0,0,.,.,.,.,.,AA,A,MIR,MIR_GRP,CFK01
