PV_TYPE,ANALYSIS_GROUP,SPECIES_CD,n,PVbar,SE_PV,CV_PV,PV_LCI,PV_UCI
Bleach_P,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,ACR CERV,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,COL NATA,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,DIC STOK,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,DIP LABY,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,EUS FAST,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,MEA MEAN,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,MON CAVE,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,PSE CLIV,121,NA,NA,NA,NA,NA
Bleach_PB,MIR_GRP,PSE STRI,121,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,ACR CERV,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,COL NATA,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,DIC STOK,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,DIP LABY,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,EUS FAST,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,MEA MEAN,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,MON CAVE,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,PSE CLIV,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_GRP,PSE STRI,356,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Bleach_PB,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,ACR CERV,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,COL NATA,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,DIC STOK,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,DIP LABY,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,EUS FAST,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,MEA MEAN,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,MON CAVE,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,PSE CLIV,121,NA,NA,NA,NA,NA
Bleach_T,MIR_GRP,PSE STRI,121,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,ACR CERV,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,COL NATA,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,DIC STOK,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,DIP LABY,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,EUS FAST,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,MEA MEAN,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,MON CAVE,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,PSE CLIV,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_GRP,PSE STRI,356,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Bleach_T,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Disease_All,MIR_GRP,ACR CERV,121,0,0,NA,0,0
Disease_All,MIR_GRP,COL NATA,121,0,0,NA,0,0
Disease_All,MIR_GRP,DIC STOK,121,0,0,NA,0,0
Disease_All,MIR_GRP,DIP LABY,121,0,0,NA,0,0
Disease_All,MIR_GRP,EUS FAST,121,0,0,NA,0,0
Disease_All,MIR_GRP,MEA MEAN,121,0,0,NA,0,0
Disease_All,MIR_GRP,MON CAVE,121,0.06476705581645922,0.0599249349068021,0.925237902995328,-0.05421530719332669,0.18374941882624513
Disease_All,MIR_GRP,PSE CLIV,121,0,0,NA,0,0
Disease_All,MIR_GRP,PSE STRI,121,0,0,NA,0,0
Disease_All,NCRMP_GRP,ACR CERV,356,0,0,NA,0,0
Disease_All,NCRMP_GRP,COL NATA,356,0,0,NA,0,0
Disease_All,NCRMP_GRP,DIC STOK,356,0.04073197387080928,0.019502876839210932,0.47881001055997785,0.0023659012252888745,0.07909804651632968
Disease_All,NCRMP_GRP,DIP LABY,356,0,0,NA,0,0
Disease_All,NCRMP_GRP,EUS FAST,356,0,0,NA,0,0
Disease_All,NCRMP_GRP,MEA MEAN,356,0,0,NA,0,0
Disease_All,NCRMP_GRP,MON CAVE,356,0.022142577488723184,0.008482380415021336,0.3830800826751655,0.005456032939800376,0.03882912203764599
Disease_All,NCRMP_GRP,PSE CLIV,356,0,0,NA,0,0
Disease_All,NCRMP_GRP,PSE STRI,356,0,0,NA,0,0
Disease_All,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Disease_All,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,ACR CERV,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,COL NATA,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,DIC STOK,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,DIP LABY,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,EUS FAST,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,MEA MEAN,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,MON CAVE,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,PSE CLIV,121,NA,NA,NA,NA,NA
Disease_F,MIR_GRP,PSE STRI,121,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,ACR CERV,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,COL NATA,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,DIC STOK,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,DIP LABY,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,EUS FAST,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,MEA MEAN,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,MON CAVE,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,PSE CLIV,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_GRP,PSE STRI,356,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Disease_F,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,ACR CERV,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,COL NATA,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,DIC STOK,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,DIP LABY,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,EUS FAST,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,MEA MEAN,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,MON CAVE,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,PSE CLIV,121,NA,NA,NA,NA,NA
Disease_P,MIR_GRP,PSE STRI,121,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,ACR CERV,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,COL NATA,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,DIC STOK,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,DIP LABY,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,EUS FAST,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,MEA MEAN,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,MON CAVE,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,PSE CLIV,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_GRP,PSE STRI,356,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Disease_P,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,ACR CERV,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,COL NATA,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,DIC STOK,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,DIP LABY,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,EUS FAST,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,MEA MEAN,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,MON CAVE,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,PSE CLIV,121,NA,NA,NA,NA,NA
Disease_S,MIR_GRP,PSE STRI,121,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,ACR CERV,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,COL NATA,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,DIC STOK,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,DIP LABY,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,EUS FAST,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,MEA MEAN,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,MON CAVE,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,PSE CLIV,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_GRP,PSE STRI,356,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Disease_S,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
