COVER_CAT_CD,analysis_group,nstrat,n,wavp,se_wp,YEAR
PAL SPE.,NCRMP_GRP,6,66,0.01057,0.01297,2022
PEY SPE.,NCRMP_GRP,6,66,9.6e-4,0.0037,2022
POR ASTR,NCRMP_GRP,6,66,0.00611,0.01096,2022
POR DIVA,NCRMP_GRP,6,66,0,0,2022
POR PORI,NCRMP_GRP,6,66,0.00557,0.01066,2022
POR SPE.,NCRMP_GRP,6,66,2.7e-4,0.00197,2022
PSE CLIV,NCRMP_GRP,6,66,0,0,2022
PSE STRI,NCRMP_GRP,6,66,0,0,2022
RAM SPE.,NCRMP_GRP,6,66,4e-5,3.8e-4,2022
RHO CRUS,NCRMP_GRP,6,66,0.0078,0.01166,2022
SID RADI,NCRMP_GRP,6,66,0.00381,0.00949,2022
SID SIDE,NCRMP_GRP,6,66,0.02415,0.02026,2022
SOL BOUR,NCRMP_GRP,6,66,0.00125,0.00448,2022
SOL SPE.,NCRMP_GRP,6,66,4.1e-4,0.00241,2022
SPO OTHE,NCRMP_GRP,6,66,0.04914,0.03048,2022
STE INTE,NCRMP_GRP,6,66,0.00605,0.00967,2022
TUR FREE,NCRMP_GRP,6,66,0.01248,0.01208,2022
TUR SEDI,NCRMP_GRP,6,66,0.39758,0.07635,2022
ACR CERV,NCRMP_GRP,6,74,0,0,2024
ACR PALM,NCRMP_GRP,6,74,0,0,2024
AGA AGAR,NCRMP_GRP,6,74,0,0,2024
AGA HUMI,NCRMP_GRP,6,74,0,0,2024
AGA LAMA,NCRMP_GRP,6,74,0,0,2024
AGA SPE.,NCRMP_GRP,6,74,0,0,2024
BAR SUB.,NCRMP_GRP,6,74,0.21831,0.07543,2024
CLI SPE.,NCRMP_GRP,6,74,0.00309,0.00819,2024
COL NATA,NCRMP_GRP,6,74,0,0,2024
CYA SPE.,NCRMP_GRP,6,74,0.01357,0.02235,2024
DIC SPE.,NCRMP_GRP,6,74,0.0828,0.04863,2024
DIC STOK,NCRMP_GRP,6,74,1.8e-4,0.00197,2024
DIP LABY,NCRMP_GRP,6,74,0,0,2024
DIP SPE.,NCRMP_GRP,6,74,0,0,2024
EUS FAST,NCRMP_GRP,6,74,0,0,2024
GOR ENCR,NCRMP_GRP,6,74,0.00817,0.0132,2024
GOR GORG,NCRMP_GRP,6,74,0.01691,0.02173,2024
HAL SPE.,NCRMP_GRP,6,74,0.03862,0.03433,2024
HEL CUCU,NCRMP_GRP,6,74,0,0,2024
ISO SINU,NCRMP_GRP,6,74,0,0,2024
LOB SPE.,NCRMP_GRP,6,74,0.00229,0.00455,2024
MAC CALC,NCRMP_GRP,6,74,0.02074,0.02474,2024
MAC FLES,NCRMP_GRP,6,74,0.07828,0.05308,2024
MAD DECA,NCRMP_GRP,6,74,0,0,2024
MAG SPE.,NCRMP_GRP,6,74,0.01756,0.0169,2024
MAN AREO,NCRMP_GRP,6,74,5e-5,5.2e-4,2024
MEA MEAN,NCRMP_GRP,6,74,0,0,2024
MIL SPE.,NCRMP_GRP,6,74,0.00379,0.01115,2024
MON CAVE,NCRMP_GRP,6,74,0.00368,0.01079,2024
MYC ALIC,NCRMP_GRP,6,74,5e-5,5.5e-4,2024
ORB ANCX,NCRMP_GRP,6,74,0,0,2024
ORB ANNU,NCRMP_GRP,6,74,0,0,2024
ORB FAVE,NCRMP_GRP,6,74,0.00199,0.0062,2024
ORB FRAN,NCRMP_GRP,6,74,0.0011,0.0051,2024
OTH CORA,NCRMP_GRP,6,74,5e-5,5.2e-4,2024
OTH SPE.,NCRMP_GRP,6,74,6.5e-4,0.00543,2024
PAL SPE.,NCRMP_GRP,6,74,0.0086,0.01538,2024
PEY SPE.,NCRMP_GRP,6,74,0.00462,0.00893,2024
POR ASTR,NCRMP_GRP,6,74,0.00185,0.00712,2024
POR DIVA,NCRMP_GRP,6,74,1e-4,7.4e-4,2024
POR PORI,NCRMP_GRP,6,74,0.0018600000000000001,0.00876,2024
POR SPE.,NCRMP_GRP,6,74,0,0,2024
PSE CLIV,NCRMP_GRP,6,74,0,0,2024
PSE STRI,NCRMP_GRP,6,74,2.7e-4,0.00235,2024
RAM SPE.,NCRMP_GRP,6,74,6.7e-4,0.00306,2024
RHO CRUS,NCRMP_GRP,6,74,0.02262,0.02497,2024
SID RADI,NCRMP_GRP,6,74,2.7e-4,0.00235,2024
SID SIDE,NCRMP_GRP,6,74,0.02593,0.02374,2024
SOL BOUR,NCRMP_GRP,6,74,6.4e-4,0.00304,2024
SOL SPE.,NCRMP_GRP,6,74,0,0,2024
SPO OTHE,NCRMP_GRP,6,74,0.08416,0.04467,2024
STE INTE,NCRMP_GRP,6,74,0.00541,0.01137,2024
TUR FREE,NCRMP_GRP,6,74,0.01643,0.01696,2024
TUR SEDI,NCRMP_GRP,6,74,0.31467,0.08066,2024
