YEAR,SPECIES_CD,analysis_group,strat_cora,ntot,n,avdens,se_dns,cv_dns,avp,se_p,abd,se_abd
2022,DIP LABY,MIR_GRP,CFK02,110,16,0.6875,0.2187364714431362,31.81621402809254,0.35714285714285715,0.07961720414610182,189062.5,240.61012
2024,DIP LABY,MIR_GRP,CFK02,110,12,0.33333,0.17747333896177356,53.242001688532056,0.35714285714285715,0.07961720414610182,91666.66666666669,195.22067
2022,MEA MEAN,MIR_GRP,CFK02,110,16,0,0,0,0,0,0,0
2024,MEA MEAN,MIR_GRP,CFK02,110,12,0,0,0,0,0,0,0
2022,MON CAVE,MIR_GRP,CFK02,110,16,1,0.2798809270624444,27.988092706244437,0.5714285714285714,0.08222829486118625,275000,307.86902
2024,MON CAVE,MIR_GRP,CFK02,110,12,1.75,0.5938446894193086,33.93398225253192,0.5714285714285714,0.08222829486118625,481250,653.22916
2022,PSE CLIV,MIR_GRP,CFK02,110,16,0.0625,0.05777601735857346,92.44162777371754,0.03571428571428571,0.030835610572944844,17187.5,63.55362
2024,PSE CLIV,MIR_GRP,CFK02,110,12,0,0,0,0.03571428571428571,0.030835610572944844,0,0
2022,PSE STRI,MIR_GRP,CFK02,110,16,0.375,0.18632205744599614,49.685881985598975,0.21428571428571427,0.06818010030131597,103125,204.95426
2024,PSE STRI,MIR_GRP,CFK02,110,12,0.16667,0.10606060606060602,63.636363636363605,0.21428571428571427,0.06818010030131597,45833.33333333334,116.66667
2022,ACR CERV,MIR_GRP,CFK03,78,8,0,0,0,0,0,0,0
2024,ACR CERV,MIR_GRP,CFK03,78,11,0,0,0,0,0,0,0
2022,ACR PALM,MIR_GRP,CFK03,78,7,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK03,78,8,0,0,0,0,0,0,0
2024,COL NATA,MIR_GRP,CFK03,78,11,0,0,0,0,0,0,0
2022,DIC STOK,MIR_GRP,CFK03,78,8,0.125,0.11841636667891774,94.73309334313419,0.05263157894736842,0.045774657506468634,24375,92.36477
2024,DIC STOK,MIR_GRP,CFK03,78,11,0,0,0,0.05263157894736842,0.045774657506468634,0,0
2022,DIP LABY,MIR_GRP,CFK03,78,8,0.125,0.11841636667891774,94.73309334313419,0.05263157894736842,0.045774657506468634,24375,92.36477
2024,DIP LABY,MIR_GRP,CFK03,78,11,0,0,0,0.05263157894736842,0.045774657506468634,0,0
2022,MEA MEAN,MIR_GRP,CFK03,78,8,0.125,0.11841636667891774,94.73309334313419,0.05263157894736842,0.045774657506468634,24375,92.36477
2024,MEA MEAN,MIR_GRP,CFK03,78,11,0,0,0,0.05263157894736842,0.045774657506468634,0,0
2022,MON CAVE,MIR_GRP,CFK03,78,8,0.25,0.23683273335783547,94.73309334313419,0.15789473684210525,0.07474970269433862,48750,184.72953
2024,MON CAVE,MIR_GRP,CFK03,78,11,0.36364,0.2583219685925147,71.03854136294156,0.15789473684210525,0.07474970269433862,70909.0909090909,201.49114
2022,PSE CLIV,MIR_GRP,CFK03,78,8,0.125,0.11841636667891774,94.73309334313419,0.05263157894736842,0.045774657506468634,24375,92.36477
2024,PSE CLIV,MIR_GRP,CFK03,78,11,0,0,0,0.05263157894736842,0.045774657506468634,0,0
2022,PSE STRI,MIR_GRP,CFK03,78,8,0,0,0,0,0,0,0
2024,PSE STRI,MIR_GRP,CFK03,78,11,0,0,0,0,0,0,0
2022,ACR CERV,MIR_GRP,CFK05,202,25,0.08,0.05183752224857286,64.79690281071606,0.06349206349206349,0.02568924393705458,40400.00000000001,104.71179
2024,ACR CERV,MIR_GRP,CFK05,202,38,0.23684,0.190532846410863,80.4472018179199,0.06349206349206349,0.02568924393705458,119605.26315789478,384.87635
2022,ACR PALM,MIR_GRP,CFK05,202,23,0.6087,0.5317807400104435,87.36397871600144,0.08695652173913043,0.05655048051718367,307391.3043478261,1074.19709
2022,COL NATA,MIR_GRP,CFK05,202,25,0.04,0.03744302602648192,93.60756506620483,0.015873015873015872,0.013167131289879935,20199.999999999993,75.63491
2024,COL NATA,MIR_GRP,CFK05,202,38,0,0,0,0.015873015873015872,0.013167131289879935,0,0
2022,DIC STOK,MIR_GRP,CFK05,202,25,0.04,0.037443026026481925,93.60756506620478,0.047619047619047616,0.022435284117516385,20200.000000000004,75.63491
2024,DIC STOK,MIR_GRP,CFK05,202,38,0.05263,0.03307714589795432,62.84657720611319,0.047619047619047616,0.022435284117516385,26578.947368421064,66.81583
2022,DIP LABY,MIR_GRP,CFK05,202,25,0,0,0,0,0,0,0
2024,DIP LABY,MIR_GRP,CFK05,202,38,0,0,0,0,0,0,0
2022,MEA MEAN,MIR_GRP,CFK05,202,25,0,0,0,0.015873015873015872,0.013167131289879935,0,0
2024,MEA MEAN,MIR_GRP,CFK05,202,38,0.02632,0.023711697326635663,90.10444984121547,0.015873015873015872,0.013167131289879935,13289.473684210532,47.89763
2022,MON CAVE,MIR_GRP,CFK05,202,25,0.16,0.10367504449714572,64.79690281071606,0.15873015873015872,0.03849756456365144,80800.00000000001,209.42359
2024,MON CAVE,MIR_GRP,CFK05,202,38,0.31579,0.11324864226294566,35.862070049932804,0.15873015873015872,0.03849756456365144,159473.6842105263,228.76226
2022,PSE CLIV,MIR_GRP,CFK05,202,25,0.04,0.037443026026481925,93.60756506620481,0.06349206349206349,0.02568924393705458,20200,75.63491
2024,PSE CLIV,MIR_GRP,CFK05,202,38,0.07895,0.0399444485746609,50.59630152790382,0.06349206349206349,0.02568924393705458,39868.42105263157,80.68779
2022,PSE STRI,MIR_GRP,CFK05,202,25,0,0,0,0.015873015873015872,0.013167131289879935,0,0
2024,PSE STRI,MIR_GRP,CFK05,202,38,0.02632,0.02371169732663566,90.10444984121546,0.015873015873015872,0.013167131289879935,13289.473684210534,47.89763
2022,ACR CERV,MIR_GRP,CFK06,109,4,0,0,0,0,0,0,0
2024,ACR CERV,MIR_GRP,CFK06,109,12,0,0,0,0,0,0,0
2022,ACR PALM,MIR_GRP,CFK06,109,4,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK06,109,4,0,0,0,0,0,0,0
2024,COL NATA,MIR_GRP,CFK06,109,12,0,0,0,0,0,0,0
2022,DIC STOK,MIR_GRP,CFK06,109,4,0.25,0.24536996967507785,98.14798787003114,0.3125,0.11054623550119759,68125,267.45327
2024,DIC STOK,MIR_GRP,CFK06,109,12,0.41667,0.18206272360297812,43.69505366471475,0.3125,0.11054623550119759,113541.66666666666,198.44837
2022,DIP LABY,MIR_GRP,CFK06,109,4,0,0,0,0.125,0.07887540982606277,0,0
2024,DIP LABY,MIR_GRP,CFK06,109,12,0.16667,0.10600101586614973,63.60060951968983,0.125,0.07887540982606277,45416.66666666667,115.54111
2022,MEA MEAN,MIR_GRP,CFK06,109,4,0.25,0.24536996967507785,98.14798787003114,0.0625,0.05773088865232507,68125,267.45327
2024,MEA MEAN,MIR_GRP,CFK06,109,12,0,0,0,0.0625,0.05773088865232507,0,0
2022,MON CAVE,MIR_GRP,CFK06,109,4,0.25,0.24536996967507785,98.14798787003114,0.375,0.11546177730465014,68125,267.45327
2024,MON CAVE,MIR_GRP,CFK06,109,12,0.66667,0.2681637155429434,40.2245573314415,0.375,0.11546177730465014,181666.6666666667,292.29845
2022,PSE CLIV,MIR_GRP,CFK06,109,4,0,0,0,0,0,0,0
2024,PSE CLIV,MIR_GRP,CFK06,109,12,0,0,0,0,0,0,0
2022,PSE STRI,MIR_GRP,CFK06,109,4,0.5,0.4907399393501557,98.14798787003114,0.125,0.07887540982606277,136250,534.90653
2024,PSE STRI,MIR_GRP,CFK06,109,12,0.16667,0.15722491469942862,94.33494881965716,0.125,0.07887540982606277,45416.66666666667,171.37516
2022,ACR CERV,MIR_GRP,CFK07,339,35,1.54286,0.7521293523130747,48.74912468695855,0.08695652173913043,0.030494701445261545,1307571.4285714282,2549.7185
2024,ACR CERV,MIR_GRP,CFK07,339,34,0.02941,0.027897876895029608,94.85278144310068,0.08695652173913043,0.030494701445261545,24926.470588235294,94.5738
2022,ACR PALM,MIR_GRP,CFK07,339,32,0,0,0,0,0,0,0
2022,COL NATA,MIR_GRP,CFK07,339,35,0,0,0,0.014492753623188406,0.012934002550189774,0,0
2024,COL NATA,MIR_GRP,CFK07,339,34,0.02941,0.0278978768950296,94.85278144310067,0.014492753623188406,0.012934002550189774,24926.470588235286,94.5738
2022,DIC STOK,MIR_GRP,CFK07,339,35,0.17143,0.06120741864154075,35.70432754089878,0.13043478260869565,0.03644813960048748,145285.71428571426,207.49315000000001
2024,DIC STOK,MIR_GRP,CFK07,339,34,0.14706,0.09072498332912822,61.69298866380718,0.13043478260869565,0.03644813960048748,124632.3529411765,307.55769
2022,DIP LABY,MIR_GRP,CFK07,339,35,0.08571,0.04546372921434119,53.04101741673139,0.057971014492753624,0.025290950983376633,72642.85714285713,154.12204
2024,DIP LABY,MIR_GRP,CFK07,339,34,0.02941,0.027897876895029608,94.85278144310068,0.057971014492753624,0.025290950983376633,24926.470588235294,94.5738
2022,MEA MEAN,MIR_GRP,CFK07,339,35,0,0,0,0,0,0,0
2024,MEA MEAN,MIR_GRP,CFK07,339,34,0,0,0,0,0,0,0
2022,MON CAVE,MIR_GRP,CFK07,339,35,0.34286,0.15007048361667114,43.770557721529066,0.21739130434782608,0.04463967204746172,290571.42857142864,508.73894
2024,MON CAVE,MIR_GRP,CFK07,339,34,0.35294,0.1258921991575805,35.66945642798114,0.21739130434782608,0.04463967204746172,299117.6470588235,426.77456
2022,PSE CLIV,MIR_GRP,CFK07,339,35,0,0,0,0,0,0,0
2024,PSE CLIV,MIR_GRP,CFK07,339,34,0,0,0,0,0,0,0
2022,PSE STRI,MIR_GRP,CFK07,339,35,0.05714,0.03769653284357225,65.96893247625145,0.043478260869565216,0.022070444553522146,48428.57142857142,127.79125
2024,PSE STRI,MIR_GRP,CFK07,339,34,0.02941,0.027897876895029608,94.85278144310068,0.043478260869565216,0.022070444553522146,24926.470588235294,94.5738
2022,ACR CERV,NCRMP_GRP,CFK01,4718,27,0,0,0,0,0,0,0
2024,ACR CERV,NCRMP_GRP,CFK01,4718,24,0,0,0,0,0,0,0
2022,COL NATA,NCRMP_GRP,CFK01,4718,27,0.77778,0.29312999376501697,37.688142055502176,0.23529411764705882,0.059663356291988906,9173888.88888889,13829.87311
2024,COL NATA,NCRMP_GRP,CFK01,4718,24,0.625,0.2867638973907981,45.8822235825277,0.23529411764705882,0.059663356291988906,7371875,13529.52068
2022,DIC STOK,NCRMP_GRP,CFK01,4718,27,0.14815,0.06946998797941357,46.892241886104166,0.11764705882352941,0.04531757226692711,1747407.4074074072,3277.59403
2024,DIC STOK,NCRMP_GRP,CFK01,4718,24,0.125,0.09130170841670252,73.04136673336201,0.11764705882352941,0.04531757226692711,1474375,4307.6146
2022,DIP LABY,NCRMP_GRP,CFK01,4718,27,0.11111,0.061456745530451565,55.31107097740641,0.0784313725490196,0.037814962889958545,1310555.5555555555,2899.52925
2024,DIP LABY,NCRMP_GRP,CFK01,4718,24,0.04167,0.04156055444006661,99.74533065615987,0.0784313725490196,0.037814962889958545,491458.33333333326,1960.82696
2022,MEA MEAN,NCRMP_GRP,CFK01,4718,27,0,0,0,0,0,0,0
2024,MEA MEAN,NCRMP_GRP,CFK01,4718,24,0,0,0,0,0,0,0
2022,MON CAVE,NCRMP_GRP,CFK01,4718,27,1.48148,0.40662718921099417,27.4473352717421,0.39215686274509803,0.06867214273807103,17474074.07407408,19184.67079
2024,MON CAVE,NCRMP_GRP,CFK01,4718,24,1.58333,0.9973027134745227,62.98753979839089,0.39215686274509803,0.06867214273807103,18675416.66666667,47052.74202
2022,PSE CLIV,NCRMP_GRP,CFK01,4718,27,0.07407,0.05121395460870964,69.138838721758,0.0392156862745098,0.027302209305833748,873703.7037037038,2416.27438
2024,PSE CLIV,NCRMP_GRP,CFK01,4718,24,0,0,0,0.0392156862745098,0.027302209305833748,0,0
2022,PSE STRI,NCRMP_GRP,CFK01,4718,27,0.18519,0.11945044226727068,64.50323882432616,0.09803921568627451,0.04182622524466346,2184259.2592592593,5635.67187
2024,PSE STRI,NCRMP_GRP,CFK01,4718,24,0.08333,0.057483572759714684,68.98028731165763,0.09803921568627451,0.04182622524466346,982916.6666666665,2712.07496
2022,ACR CERV,NCRMP_GRP,CFK02,30239,79,0.06329,0.03289080665035104,51.96747450755461,0.02072538860103627,0.010248553989962298,4784651.898734179,9945.85102
2024,ACR CERV,NCRMP_GRP,CFK02,30239,114,0,0,0,0.02072538860103627,0.010248553989962298,0,0
2022,ACR PALM,NCRMP_GRP,CFK02,30239,1,0,NA,0,0,NA,0,NA
2022,COL NATA,NCRMP_GRP,CFK02,30239,79,0.32911,0.0894589266173255,27.18175077987968,0.17098445595854922,0.027084364935510898,24880189.87341772,27051.48482
2024,COL NATA,NCRMP_GRP,CFK02,30239,114,0.27193,0.07066496546993632,25.986471172815296,0.17098445595854922,0.027084364935510898,20557214.912280697,21368.37891
2022,DIC STOK,NCRMP_GRP,CFK02,30239,79,0.36709,0.08661971160613752,23.596404196154705,0.22797927461139897,0.03018013430084293,27750981.012658224,26192.93459
2024,DIC STOK,NCRMP_GRP,CFK02,30239,114,0.33333,0.06887101000367073,20.661303001101217,0.22797927461139897,0.03018013430084293,25199166.66666667,20825.90472
2022,DIP LABY,NCRMP_GRP,CFK02,30239,79,0.17722,0.053250735241070754,30.048629171747077,0.15544041450777202,0.026064903726679554,13397025.316455692,16102.48983
2024,DIP LABY,NCRMP_GRP,CFK02,30239,114,0.2193,0.053864839154687566,24.56236665453753,0.15544041450777202,0.026064903726679554,16578399.122807015,16288.18871
2022,MEA MEAN,NCRMP_GRP,CFK02,30239,79,0.02532,0.017763065771866156,70.16410979887134,0.025906735751295335,0.011427878711351097,1913860.7594936702,5371.37346
2024,MEA MEAN,NCRMP_GRP,CFK02,30239,114,0.03509,0.021287466300331608,60.66927895594518,0.025906735751295335,0.011427878711351097,2652543.8596491185,6437.11693
2022,MON CAVE,NCRMP_GRP,CFK02,30239,79,2.73418,0.37426912443593424,13.688546680758707,0.6839378238341969,0.033446723405124404,206696962.02531642,113175.24054
2024,MON CAVE,NCRMP_GRP,CFK02,30239,114,3.15789,0.367160989372286,11.626764663455722,0.6839378238341969,0.033446723405124404,238728947.36842108,111025.81158
2022,PSE CLIV,NCRMP_GRP,CFK02,30239,79,0.1519,0.05991348946381954,39.44304723034786,0.10362694300518134,0.021925007216842415,11483164.556962028,18117.24008
2024,PSE CLIV,NCRMP_GRP,CFK02,30239,114,0.12281,0.033232494572062045,27.060745580107653,0.10362694300518134,0.021925007216842415,9283903.508771934,10049.17403
2022,PSE STRI,NCRMP_GRP,CFK02,30239,79,0.21519,0.07346245687475579,34.13843584179828,0.15025906735751296,0.025705296554913153,16267816.455696205,22214.31233
2024,PSE STRI,NCRMP_GRP,CFK02,30239,114,0.14035,0.032614353295098174,23.23772672275745,0.15025906735751296,0.025705296554913153,10610175.43859649,9862.25429
2022,ACR CERV,NCRMP_GRP,CFK03,15652,39,0,0,0,0,0,0,0
2024,ACR CERV,NCRMP_GRP,CFK03,15652,43,0,0,0,0,0,0,0
2022,COL NATA,NCRMP_GRP,CFK03,15652,39,0.20513,0.09830958627116639,47.92592330719361,0.08536585365853659,0.030965826529935566,8026666.666666668,15387.41644
2024,COL NATA,NCRMP_GRP,CFK03,15652,43,0.04651,0.032450130382511405,69.7677803223995,0.08536585365853659,0.030965826529935566,1820000.0000000005,5079.09441
2022,DIC STOK,NCRMP_GRP,CFK03,15652,39,0.35897,0.11301021854143042,31.481418022255625,0.3048780487804878,0.05101647610745706,14046666.666666664,17688.35941
2024,DIC STOK,NCRMP_GRP,CFK03,15652,43,0.5814,0.14948036307958051,25.710622449687854,0.3048780487804878,0.05101647610745706,22749999.999999996,23396.66643
2022,DIP LABY,NCRMP_GRP,CFK03,15652,39,0.25641,0.11437640914532707,44.606799566677566,0.15853658536585366,0.040476154630451344,10033333.333333332,17902.19556
2024,DIP LABY,NCRMP_GRP,CFK03,15652,43,0.2093,0.07095002509857584,33.89834532487512,0.15853658536585366,0.040476154630451344,8190000,11105.09793
2022,MEA MEAN,NCRMP_GRP,CFK03,15652,39,0.02564,0.025609060917639943,99.87533757879581,0.012195121951219513,0.012163135202597267,1003333.333333333,4008.33021
2024,MEA MEAN,NCRMP_GRP,CFK03,15652,43,0,0,0,0.012195121951219513,0.012163135202597267,0,0
2022,MON CAVE,NCRMP_GRP,CFK03,15652,39,1.74359,0.4489377135513714,25.74789827721101,0.5,0.055409838145165334,68226666.66666666,70267.73093
2024,MON CAVE,NCRMP_GRP,CFK03,15652,43,0.93023,0.1891472693655301,20.333331456794486,0.5,0.055409838145165334,36400000.00000001,29605.3306
2022,PSE CLIV,NCRMP_GRP,CFK03,15652,39,0,0,0,0.012195121951219513,0.012163135202597267,0,0
2024,PSE CLIV,NCRMP_GRP,CFK03,15652,43,0.02326,0.023223847183802885,99.86254289035243,0.012195121951219513,0.012163135202597267,909999.9999999998,3634.99656
2022,PSE STRI,NCRMP_GRP,CFK03,15652,39,0.30769,0.14746437940674947,47.92592330719357,0.13414634146341464,0.03776839606778057,12040000.000000002,23081.12466
2024,PSE STRI,NCRMP_GRP,CFK03,15652,43,0.11628,0.04939537881391805,42.480025779969516,0.13414634146341464,0.03776839606778057,4550000.000000001,7731.36469
2022,ACR CERV,NCRMP_GRP,CFK05,2596,21,0,0,0,0,0,0,0
2024,ACR CERV,NCRMP_GRP,CFK05,2596,47,0,0,0,0,0,0,0
2022,ACR PALM,NCRMP_GRP,CFK05,2596,2,0,0,0,0,0,0,0
2022,COL NATA,NCRMP_GRP,CFK05,2596,21,0.04762,0.04742605251824048,99.59471028830504,0.058823529411764705,0.028366768167334258,309047.619047619,1231.18032
2024,COL NATA,NCRMP_GRP,CFK05,2596,47,0.06383,0.035714351242554794,55.952483613335836,0.058823529411764705,0.028366768167334258,414255.31914893625,927.14456
2022,DIC STOK,NCRMP_GRP,CFK05,2596,21,0.47619,0.25362963368549624,53.26222307395422,0.29411764705882354,0.054932010348906136,3090476.19047619,6584.22529
2024,DIC STOK,NCRMP_GRP,CFK05,2596,47,0.40426,0.0936696126175759,23.170904173821405,0.29411764705882354,0.054932010348906136,2623617.0212765965,2431.66314
2022,DIP LABY,NCRMP_GRP,CFK05,2596,21,0.09524,0.06537230200306178,68.64091710321487,0.10294117647058823,0.03663564265073679,618095.2380952381,1697.06496
2024,DIP LABY,NCRMP_GRP,CFK05,2596,47,0.14894,0.06724789993502764,45.152161384947135,0.10294117647058823,0.03663564265073679,966595.7446808508,1745.75548
2022,MEA MEAN,NCRMP_GRP,CFK05,2596,21,0,0,0,0,0,0,0
2024,MEA MEAN,NCRMP_GRP,CFK05,2596,47,0,0,0,0,0,0,0
2022,MON CAVE,NCRMP_GRP,CFK05,2596,21,0.47619,0.18970421007296187,39.837884115322,0.35294117647058826,0.057613178501707094,3090476.1904761903,4924.72129
2024,MON CAVE,NCRMP_GRP,CFK05,2596,47,0.6383,0.1458694875372413,22.852886380834462,0.35294117647058826,0.057613178501707094,4142553.1914893626,3786.7719
2022,PSE CLIV,NCRMP_GRP,CFK05,2596,21,0.14286,0.10390527511065993,72.73369257746194,0.058823529411764705,0.028366768167334258,927142.8571428573,2697.38094
2024,PSE CLIV,NCRMP_GRP,CFK05,2596,47,0.06383,0.04673153207879136,73.21273359010647,0.058823529411764705,0.028366768167334258,414255.31914893625,1213.15057
2022,PSE STRI,NCRMP_GRP,CFK05,2596,21,0.09524,0.06537230200306181,68.64091710321489,0.04411764705882353,0.02475752249716245,618095.2380952381,1697.06496
2024,PSE STRI,NCRMP_GRP,CFK05,2596,47,0.02128,0.02108311199341039,99.09062636902884,0.04411764705882353,0.02475752249716245,138085.10638297873,547.31759
2022,ACR CERV,NCRMP_GRP,CFK06,36727,20,0,0,0,0.018518518518518517,0.018504899548177065,0,0
2024,ACR CERV,NCRMP_GRP,CFK06,36727,34,0.02941,0.02939814759116359,99.95370180995623,0.018518518518518517,0.018504899548177065,2700514.7058823523,10797.05767
2022,COL NATA,NCRMP_GRP,CFK06,36727,20,0,0,0,0.037037037037037035,0.02592181857918474,0,0
2024,COL NATA,NCRMP_GRP,CFK06,36727,34,0.05882,0.04094048497687526,69.59882446068795,0.037037037037037035,0.02592181857918474,5401029.411764705,15036.21192
2022,DIC STOK,NCRMP_GRP,CFK06,36727,20,0.4,0.13373478272710884,33.43369568177721,0.18518518518518517,0.053318157763538966,36727000,49116.77365
2024,DIC STOK,NCRMP_GRP,CFK06,36727,34,0.11765,0.07016845604359116,59.6431876370525,0.18518518518518517,0.053318157763538966,10802058.82352941,25770.76885
2022,DIP LABY,NCRMP_GRP,CFK06,36727,20,0.1,0.06880597806611999,68.80597806611999,0.16666666666666666,0.051153612434765815,9181750,25270.37156
2024,DIP LABY,NCRMP_GRP,CFK06,36727,34,0.23529,0.08501930236708771,36.133203506012286,0.16666666666666666,0.051153612434765815,21604117.64705882,31225.03918
2022,MEA MEAN,NCRMP_GRP,CFK06,36727,20,0,0,0,0,0,0,0
2024,MEA MEAN,NCRMP_GRP,CFK06,36727,34,0,0,0,0,0,0,0
2022,MON CAVE,NCRMP_GRP,CFK06,36727,20,0.5,0.1700929301456988,34.018586029139755,0.4444444444444444,0.06820481657968776,45908750,62470.03045
2024,MON CAVE,NCRMP_GRP,CFK06,36727,34,0.91176,0.2083167781928251,22.8476466405034,0.4444444444444444,0.06820481657968776,83715955.88235293,76508.50313
2022,PSE CLIV,NCRMP_GRP,CFK06,36727,20,0,0,0,0.018518518518518517,0.018504899548177065,0,0
2024,PSE CLIV,NCRMP_GRP,CFK06,36727,34,0.02941,0.02939814759116359,99.95370180995623,0.018518518518518517,0.018504899548177065,2700514.7058823523,10797.05767
2022,PSE STRI,NCRMP_GRP,CFK06,36727,20,0.05,0.04998638418361552,99.97276836723105,0.09259259259259259,0.03978614300481786,4590874.999999999,18358.49932
2024,PSE STRI,NCRMP_GRP,CFK06,36727,34,0.11765,0.05606006784258987,47.651057666201396,0.09259259259259259,0.03978614300481786,10802058.82352941,20589.18112
2022,ACR CERV,NCRMP_GRP,CFK07,15960,65,0.12308,0.08890482630332629,72.2351713714525,0.0234375,0.013370734057803039,4910769.230769238,14189.21028
2024,ACR CERV,NCRMP_GRP,CFK07,15960,63,0.03175,0.03168331314987644,99.80243642211069,0.0234375,0.013370734057803039,1266666.666666668,5056.65678
2022,ACR PALM,NCRMP_GRP,CFK07,15960,1,0,NA,0,0,NA,0,NA
2022,COL NATA,NCRMP_GRP,CFK07,15960,65,0.06154,0.037114727826124114,60.31143271745169,0.0390625,0.017122894263557502,2455384.6153846155,5923.51056
2024,COL NATA,NCRMP_GRP,CFK07,15960,63,0.03175,0.02222207785161131,69.99954523257563,0.0390625,0.017122894263557502,1266666.6666666665,3546.64363
2022,DIC STOK,NCRMP_GRP,CFK07,15960,65,0.41538,0.09759436423354997,23.494939537706475,0.2890625,0.04006463358012772,16573846.153846156,15576.06053
2024,DIC STOK,NCRMP_GRP,CFK07,15960,63,0.38095,0.08275703619835048,21.723722002067,0.2890625,0.04006463358012772,15200000.000000002,13208.02298
2022,DIP LABY,NCRMP_GRP,CFK07,15960,65,0.06154,0.02997818891941549,48.71455699405017,0.09375,0.025760793399186334,2455384.6153846155,4784.51895
2024,DIP LABY,NCRMP_GRP,CFK07,15960,63,0.12698,0.04220181094892097,33.233926122275264,0.09375,0.025760793399186334,5066666.666666666,6735.40903
2022,MEA MEAN,NCRMP_GRP,CFK07,15960,65,0.01538,0.015353255101123505,99.79615815730276,0.0625,0.021393174492484863,613846.153846154,2450.37951
2024,MEA MEAN,NCRMP_GRP,CFK07,15960,63,0.11111,0.039833437192447155,35.85009347320245,0.0625,0.021393174492484863,4433333.333333332,6357.41658
2022,MON CAVE,NCRMP_GRP,CFK07,15960,65,1.23077,0.2502274439573354,20.3309798215335,0.5390625,0.044054489004847486,49107692.30769231,39936.30006
2024,MON CAVE,NCRMP_GRP,CFK07,15960,63,0.90476,0.13305896432502853,14.706517109608416,0.5390625,0.044054489004847486,36100000,21236.21071
2022,PSE CLIV,NCRMP_GRP,CFK07,15960,65,0.03077,0.03070651020224701,99.79615815730277,0.0390625,0.017122894263557502,1227692.3076923077,4900.75903
2024,PSE CLIV,NCRMP_GRP,CFK07,15960,63,0.11111,0.06022249638635766,54.200246747721906,0.0390625,0.017122894263557502,4433333.333333332,9611.51042
2022,PSE STRI,NCRMP_GRP,CFK07,15960,65,0.04615,0.026173810338662163,56.709922400434735,0.09375,0.025760793399186334,1841538.4615384603,4177.34013
2024,PSE STRI,NCRMP_GRP,CFK07,15960,63,0.15873,0.05152958787905941,32.46364036380742,0.09375,0.025760793399186334,6333333.333333334,8224.12223
