"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","PROT","RUG_STRAT","DEPTH_STRAT_Coral","LAT_DEGREES","LON_DEGREES","MAPGRID_NR"
"FLK",1398,1,2024,7,11,"SPGR_MR","CFK09",1,"R4","CD3",25.20461,-80.21297,3834282
"FLK",1375,1,2024,7,11,"CONT_MR","CFK09",1,"R4","CD3",25.20423,-80.21751,3833841
"FLK",1009,1,2024,7,11,"ISOL_LR","CFK01",0,"R1","CD0",25.33015,-80.23357,3946863
"FLK",1334,1,2024,7,11,"SPGR_LR","CFK07",1,"R3","CD2",25.22668,-80.20502,3854180
"FLK",1399,1,2024,7,12,"SPGR_MR","CFK09",1,"R4","CD3",25.20891,-80.2167,3838551
"FLK",1280,1,2024,7,12,"CONT_LR","CFK11",0,"R4","CD4",25.17331,-80.22882,3803333
"FLK",1305,1,2024,7,12,"SPGR_HR","CFK03",1,"R4","CD0",25.20891,-80.21903,3838546
"FLK",1198,1,2024,7,12,"CONT_LR","CFK08",0,"R1","CD3",25.17223,-80.23188,3802001
"FLK",1082,1,2024,7,12,"ISOL_MR","CFK03",0,"R4","CD3",25.16108,-80.26153,3790695
"FLK",1224,1,2024,7,12,"SPGR_MR","CFK09",0,"R4","CD3",25.13862,-80.2577,3766389
"FLK",1366,1,2024,7,12,"SPGR_LR","CFK07",1,"R3","CD2",25.14108,-80.25801,3768940
"FLK",1277,1,2024,7,13,"SPGR_MR","CFK11",0,"R4","CD4",25.13612,-80.25851,3763323
"FLK",1337,1,2024,7,13,"SPGR_MR","CFK05",1,"R4","CD1",25.14147,-80.26066,3769443
"FLK",1336,1,2024,7,13,"RUBB_LR","CFK04",1,"R1","CD1",25.14432,-80.26057,3772491
"FLK",1139,1,2024,7,13,"ISOL_MR","CFK07",0,"R4","CD2",25.13162,-80.26658,3758167
"FLK",1367,1,2024,7,13,"SPGR_MR","CFK07",1,"R4","CD2",25.10677,-80.30501,3729120
"FLK",1008,1,2024,7,13,"ISOL_LR","CFK01",0,"R1","CD0",25.14653,-80.36194,3774307
"FLK",1145,1,2024,7,13,"CONT_LR","CFK07",0,"R4","CD2",25.08492,-80.30961,3702377
"FLK",1170,1,2024,7,13,"CONT_MR","CFK07",0,"R4","CD2",25.07857,-80.31761,3694625
"FLK",1672,1,2024,7,14,"SPGR_HR","CFK11",0,"R4","CD4",24.93378,-80.47624,3506566
"FLK",1130,1,2024,7,14,"CONT_MR","CFK07",0,"R4","CD2",24.93624,-80.49131,3509830
"FLK",1128,1,2024,7,14,"CONT_LR","CFK06",0,"R1","CD2",24.93925,-80.4849,3514413
"FLK",1241,1,2024,7,14,"SPGR_LR","CFK06",0,"R1","CD2",24.94521,-80.46517,3522828
"FLK",1007,1,2024,7,14,"ISOL_LR","CFK01",0,"R1","CD0",24.97615,-80.53717,3564693
"FLK",1006,1,2024,7,14,"ISOL_LR","CFK01",0,"R1","CD0",24.96343,-80.54371,3547680
"FLK",1372,1,2024,7,14,"CONT_MR","CFK07",1,"R4","CD2",24.95131,-80.45762,3531628
"FLK",1268,1,2024,7,15,"SPGR_LR","CFK11",0,"R2","CD4",24.86054,-80.58731,3389814
"FLK",1216,1,2024,7,15,"SPGR_MR","CFK07",0,"R4","CD2",24.87737,-80.56863,3420960
"FLK",1298,1,2024,7,15,"ISOL_MR","CFK02",1,"R4","CD0",24.90413,-80.615,3461610
"FLK",1217,1,2024,7,15,"SPGR_MR","CFK09",0,"R4","CD3",24.88554,-80.55279,3434340
"FLK",1168,1,2024,7,15,"CONT_MR","CFK07",0,"R4","CD2",24.89125,-80.55375,3443154
"FLK",1271,1,2024,7,15,"SPGR_HR","CFK11",0,"R4","CD4",24.8851,-80.55144,3433625
"FLK",1269,1,2024,7,16,"SPGR_HR","CFK11",0,"R4","CD4",24.8393,-80.62691,3342606
"FLK",1332,1,2024,7,16,"RUBB_LR","CFK04",1,"R2","CD1",24.84717,-80.62364,3359983
"FLK",1669,1,2024,7,16,"SPGR_HR","CFK11",0,"R4","CD4",24.84353,-80.61657,3351733
"FLK",1362,1,2024,7,16,"RUBB_LR","CFK05",1,"R3","CD1",24.84981,-80.61716,3366282
"FLK",1374,1,2024,7,16,"SPGR_MR","CFK07",1,"R4","CD2",24.84438,-80.62182,3353775
"FLK",1339,1,2024,7,29,"SPGR_MR","CFK05",1,"R4","CD1",25.03604,-80.3497,3641325
"FLK",1087,1,2024,7,30,"ISOL_MR","CFK03",0,"R4","CD0",24.98839,-80.46823,3580956
"FLK",1199,1,2024,7,30,"SPGR_LR","CFK09",0,"R3","CD3",24.99298,-80.40485,3587362
"FLK",1394,1,2024,7,31,"SPGR_MR","CFK09",1,"R4","CD3",25.0073,-80.37529,3605697
"FLK",1371,1,2024,7,31,"SPGR_LR","CFK07",1,"R3","CD2",25.01343,-80.36956,3613143
"FLK",1135,1,2024,8,1,"CONT_LR","CFK08",0,"R1","CD3",25.02842,-80.392,3631695
"FLK",1152,1,2024,8,12,"SPGR_LR","CFK07",0,"R3","CD2",25.29781,-80.16878,3920638
"FLK",1202,1,2024,8,12,"ISOL_LR","CFK02",0,"R1","CD0",25.38379,-80.15289,3987085
"FLK",1089,1,2024,8,12,"ISOL_MR","CFK03",0,"R4","CD0",25.3622,-80.15392,3971551
"FLK",1150,1,2024,8,12,"CONT_LR","CFK05",0,"R3","CD1",25.33071,-80.18352,3947668
"FLK",1048,1,2024,8,13,"ISOL_LR","CFK02",0,"R3","CD0",25.39067,-80.16373,3991783
"FLK",1056,1,2024,8,13,"ISOL_MR","CFK02",0,"R4","CD0",25.39907,-80.15921,3997672
"FLK",1227,1,2024,8,13,"SPGR_MR","CFK11",0,"R4","CD4",25.40598,-80.12576,4002255
"FLK",1181,1,2024,8,13,"SPGR_MR","CFK07",0,"R4","CD2",25.4434,-80.12007,4022762
"FLK",1051,1,2024,8,13,"ISOL_MR","CFK02",0,"R4","CD0",25.47492,-80.15578,4038450
"FLK",1232,1,2024,8,15,"SPGR_LR","CFK08",0,"R1","CD3",25.58779,-80.09265,4089195
"FLK",1154,1,2024,8,15,"CONT_LR","CFK04",0,"R2","CD1",25.59212,-80.10577,4091017
"FLK",1185,1,2024,8,15,"CONT_MR","CFK05",0,"R4","CD1",25.56292,-80.10574,4078791
"FLK",1091,1,2024,8,15,"ISOL_LR","CFK03",0,"R1","CD0",25.48353,-80.12162,4042720
"FLK",8153,1,2024,8,25,"SPGR_MR","CFK05",1,"R4","CD1",24.45962,-81.84538,1932051
"FLK",8054,1,2024,8,25,"SPGR_HR","CFK05",1,"R4","CD1",24.46014,-81.84536,1932917
"FLK",8191,1,2024,8,25,"SPGR_LR","CFK06",1,"R1","CD2",24.46193,-81.84039,1936447
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",1,"R4","CD1",24.45966,-81.84396,1932054
"FLK",8192,1,2024,8,25,"SPGR_MR","CFK07",0,"R4","CD2",24.46016,-81.84087,1932926
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",1,"R4","CD1",24.46006,-81.84296,1932922
"FLK",8356,1,2024,8,25,"SPGR_LR","CFK06",0,"R1","CD2",24.4592,-81.84196,1931192
"FLK",8155,1,2024,8,25,"SPGR_MR","CFK05",1,"R4","CD1",24.46233,-81.84191,1937336
"FLK",8090,1,2024,8,25,"SPGR_LR","CFK06",0,"R1","CD2",24.4596,-81.84245,1932057
"FLK",8284,1,2024,8,25,"SPGR_LR","CFK05",1,"R4","CD1",24.46326,-81.84143,1939129
"FLK",8092,1,2024,8,25,"SPGR_LR","CFK07",0,"R4","CD2",24.45869,-81.84345,1930331
"FLK",8091,1,2024,8,25,"SPGR_LR","CFK07",0,"R4","CD2",24.45868,-81.84397,1930330
"FLK",8283,1,2024,8,25,"SPGR_LR","CFK04",1,"R2","CD1",24.46341,-81.84234,1939127
"FLK",8059,1,2024,8,26,"SPGR_HR","CFK05",1,"R4","CD1",24.54549,-81.40946,2167787
"FLK",8094,1,2024,8,26,"SPGR_LR","CFK07",1,"R4","CD2",24.54362,-81.40951,2161203
"FLK",8057,1,2024,8,26,"SPGR_MR","CFK05",1,"R4","CD1",24.54676,-81.40457,2172783
"FLK",8072,1,2024,8,26,"SPGR_MR","CFK07",1,"R4","CD2",24.54502,-81.4061,2166136
"FLK",8195,1,2024,8,26,"SPGR_MR","CFK07",1,"R4","CD2",24.54626,-81.40404,2171120
"FLK",8173,1,2024,8,26,"SPGR_LR","CFK06",1,"R2","CD2",24.54539,-81.40465,2167797
"FLK",8058,1,2024,8,26,"SPGR_MR","CFK05",1,"R4","CD1",24.54678,-81.40313,2172786
"FLK",8097,1,2024,8,26,"SPGR_LR","CFK06",1,"R2","CD2",24.5459,-81.40217,2169460
"FLK",8157,1,2024,8,26,"SPGR_HR","CFK05",1,"R4","CD1",24.54681,-81.40363,2172785
"FLK",8098,1,2024,8,26,"SPGR_MR","CFK07",1,"R4","CD2",24.5464,-81.4017,2171125
"FLK",8096,1,2024,8,26,"SPGR_MR","CFK07",1,"R4","CD2",24.54683,-81.40079,2172791
"FLK",8358,1,2024,8,26,"SPGR_MR","CFK07",1,"R4","CD2",24.54641,-81.39965,2171129
"FLK",8325,1,2024,8,27,"SPGR_HR","CFK05",1,"R4","CD1",24.62588,-81.11142,2509193
"FLK",8326,1,2024,8,27,"SPGR_HR","CFK05",1,"R4","CD1",24.62629,-81.10989,2511282
"FLK",8060,1,2024,8,27,"SPGR_MR","CFK05",1,"R4","CD1",24.62632,-81.11043,2511281
"FLK",8075,1,2024,8,27,"SPGR_LR","CFK06",1,"R2","CD2",24.62488,-81.11191,2505028
"FLK",8074,1,2024,8,27,"SPGR_LR","CFK06",1,"R2","CD2",24.62589,-81.10961,2509197
"FLK",8174,1,2024,8,27,"SPGR_LR","CFK06",1,"R2","CD2",24.62586,-81.10898,2509198
"FLK",8099,1,2024,8,27,"SPGR_LR","CFK06",1,"R2","CD2",24.62624,-81.108,2511286
"FLK",8121,1,2024,8,28,"ISOL_MR","CFK03",1,"R4","CD0",25.21311,-80.21904,3842258
"FLK",8067,1,2024,8,28,"CONT_LR","CFK04",1,"R2","CD1",25.21639,-80.21851,3845051
"FLK",8176,1,2024,8,28,"SPGR_LR","CFK05",1,"R3","CD1",25.21811,-80.21398,3846644
"FLK",8367,1,2024,8,28,"SPGR_LR","CFK04",1,"R1","CD1",25.21803,-80.21352,3846645
"FLK",8329,1,2024,8,28,"SPGR_HR","CFK07",1,"R4","CD2",25.21948,-80.21648,3847833
"FLK",8253,1,2024,8,28,"CONT_MR","CFK05",1,"R4","CD1",25.22665,-80.2115,3854167
"FLK",8189,1,2024,8,28,"SPGR_MR","CFK07",1,"R4","CD2",25.21715,-80.21656,3845847
"FLK",8185,1,2024,8,28,"SPGR_HR","CFK07",1,"R4","CD2",25.21314,-80.21699,3842262
"FLK",8149,1,2024,8,28,"SPGR_HR","CFK05",1,"R4","CD1",25.21217,-80.21798,3841444
"FLK",8312,1,2024,8,28,"SPGR_MR","CFK05",1,"R4","CD1",25.21085,-80.21849,3840211
"FLK",8313,1,2024,8,28,"SPGR_HR","CFK05",1,"R4","CD1",25.21043,-80.2185,3839797
"FLK",8186,1,2024,8,29,"SPGR_HR","CFK05",1,"R4","CD1",25.20634,-80.22202,3835992
"FLK",8238,1,2024,8,29,"CONT_MR","CFK03",1,"R4","CD0",25.20727,-80.22203,3836848
"FLK",8152,1,2024,8,29,"SPGR_MR","CFK05",1,"R4","CD1",25.20799,-80.21998,3837700
"FLK",8389,1,2024,8,29,"SPGR_HR","CFK07",1,"R4","CD2",25.20716,-80.22058,3836851
"FLK",8386,1,2024,8,29,"SPGR_MR","CFK07",1,"R4","CD2",25.20672,-80.22055,3836423
"FLK",8391,1,2024,8,29,"SPGR_HR","CFK07",1,"R4","CD2",25.20681,-80.22109,3836422
"FLK",8392,1,2024,8,29,"SPGR_HR","CFK05",1,"R4","CD1",25.20813,-80.2196,3837701
"FLK",8087,1,2024,8,29,"SPGR_MR","CFK07",1,"R4","CD2",25.20901,-80.21861,3838547
"FLK",8089,1,2024,8,29,"SPGR_MR","CFK07",1,"R4","CD2",25.21174,-80.2176,3841037
"FLK",8388,1,2024,8,30,"SPGR_LR","CFK07",1,"R4","CD2",25.21357,-80.21605,3842664
"FLK",8123,1,2024,8,30,"SPGR_HR","CFK03",1,"R4","CD0",25.20939,-80.21904,3838968
"FLK",8240,1,2024,8,30,"SPGR_MR","CFK03",1,"R4","CD0",25.20908,-80.21947,3838545
"FLK",8050,1,2024,8,30,"SPGR_LR","CFK05",1,"R4","CD1",25.21132,-80.21951,3840625
"FLK",8131,1,2024,8,30,"SPGR_MR","CFK05",1,"R4","CD1",25.22479,-80.21002,3852592
"FLK",8297,1,2024,8,30,"RUBB_MR","CFK05",1,"R4","CD1",25.22438,-80.21108,3852194
"FLK",8306,1,2024,8,30,"SPGR_HR","CFK05",1,"R4","CD1",25.22571,-80.20854,3853387
"FLK",8146,1,2024,8,30,"SPGR_MR","CFK05",1,"R4","CD1",25.22524,-80.20905,3852990
"FLK",8147,1,2024,8,30,"SPGR_HR","CFK05",1,"R4","CD1",25.22431,-80.20905,3852198
"FLK",8048,1,2024,8,30,"SPGR_MR","CFK05",1,"R4","CD1",25.22432,-80.20955,3852197
"FLK",8302,1,2024,8,30,"SPGR_HR","CFK05",1,"R4","CD1",25.22301,-80.21003,3851014
"FLK",8145,1,2024,8,30,"SPGR_MR","CFK05",1,"R4","CD1",25.22347,-80.20999,3851408
"FLK",8076,1,2024,8,31,"SPGR_HR","CFK07",1,"R4","CD2",25.22167,-80.20995,3849832
"FLK",8298,1,2024,8,31,"SPGR_HR","CFK05",1,"R4","CD1",25.22164,-80.21049,3849831
"FLK",8084,1,2024,8,31,"SPGR_MR","CFK07",1,"R4","CD2",25.21942,-80.21101,3847844
"FLK",8382,1,2024,8,31,"SPGR_MR","CFK07",1,"R4","CD2",25.22302,-80.209,3851016
"FLK",8080,1,2024,8,31,"SPGR_MR","CFK07",1,"R4","CD2",25.2244,-80.208,3852200
"FLK",8078,1,2024,8,31,"SPGR_MR","CFK07",1,"R4","CD2",25.22751,-80.20597,3854966
"FLK",8183,1,2024,8,31,"SPGR_HR","CFK07",1,"R4","CD2",25.21898,-80.21147,3847445
"FLK",8079,1,2024,8,31,"SPGR_MR","CFK07",1,"R4","CD2",25.21897,-80.21183,3847444
"FLK",8181,1,2024,8,31,"SPGR_MR","CFK07",1,"R4","CD2",25.21718,-80.21355,3845853
"FLK",8077,1,2024,8,31,"SPGR_HR","CFK07",1,"R4","CD2",25.2185,-80.21521,3847040
"FLK",8115,1,2024,9,1,"ISOL_HR","CFK02",1,"R4","CD0",24.90449,-80.61555,3462289
"FLK",8116,1,2024,9,1,"ISOL_HR","CFK02",1,"R4","CD0",24.90403,-80.61806,3461604
"FLK",8020,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89724,-80.62149,3451561
"FLK",8114,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89636,-80.61955,3450249
"FLK",8013,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89684,-80.62004,3450908
"FLK",8019,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89683,-80.62053,3450907
"FLK",8110,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89774,-80.61802,3452226
"FLK",8021,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89729,-80.61838,3451567
"FLK",8012,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89683,-80.61849,3450911
"FLK",8018,1,2024,9,1,"ISOL_MR","CFK02",0,"R4","CD0",24.89689,-80.61702,3450914
"FLK",8017,1,2024,9,1,"ISOL_HR","CFK02",0,"R4","CD0",24.89638,-80.61802,3450252
"FLK",8202,1,2024,9,2,"ISOL_HR","CFK01",0,"R4","CD0",24.61784,-81.38011,2472501
"FLK",8200,1,2024,9,2,"ISOL_HR","CFK01",0,"R4","CD0",24.61463,-81.38071,2457624
"FLK",8102,1,2024,9,2,"ISOL_HR","CFK01",0,"R4","CD0",24.61458,-81.37965,2457626
"FLK",8211,1,2024,9,2,"ISOL_HR","CFK01",0,"R4","CD0",24.61518,-81.38414,2459731
"FLK",8007,1,2024,9,2,"ISOL_MR","CFK01",1,"R4","CD0",24.61588,-81.39077,2463949
"FLK",8104,1,2024,9,2,"ISOL_MR","CFK01",1,"R4","CD0",24.61401,-81.39243,2455492
"FLK",8002,1,2024,9,2,"CONT_LR","CFK01",1,"R1","CD0",24.61359,-81.39339,2453382
"FLK",8005,1,2024,9,2,"ISOL_HR","CFK01",1,"R4","CD0",24.61461,-81.39344,2457598
"FLK",8100,1,2024,9,2,"ISOL_HR","CFK01",1,"R4","CD0",24.61459,-81.39289,2457599
"FLK",8009,1,2024,9,2,"ISOL_MR","CFK01",1,"R4","CD0",24.61422,-81.39231,2455492
"FLK",8126,1,2024,9,18,"SPGR_MR","CFK03",0,"R4","CD0",25.14037,-80.29441,3767845
"FLK",8252,1,2024,9,18,"SPGR_HR","CFK03",0,"R4","CD0",25.13993,-80.29438,3767335
"FLK",8246,1,2024,9,18,"SPGR_MR","CFK03",0,"R4","CD0",25.13897,-80.29486,3766314
"FLK",8136,1,2024,9,18,"SPGR_LR","CFK05",1,"R4","CD1",25.22032,-80.212,3848640
"FLK",8305,1,2024,9,18,"SPGR_MR","CFK05",1,"R4","CD1",25.22076,-80.21102,3849038
"FLK",1382,1,2024,9,30,"SPGR_HR","CFK11",1,"R4","CD4",24.45083,-81.87974,1916387
"FLK",1353,1,2024,9,30,"SPGR_HR","CFK05",1,"R4","CD1",24.45346,-81.87549,1921140
"FLK",1236,1,2024,9,30,"SPGR_HR","CFK09",0,"R4","CD3",24.44004,-81.8769,1898905
"FLK",1072,1,2024,9,30,"ISOL_MR","CFK03",0,"R4","CD0",24.47752,-81.89883,1969885
"FLK",1267,1,2024,10,1,"SPGR_HR","CFK11",0,"R4","CD4",24.58645,-81.23243,2330158
"FLK",1187,1,2024,10,1,"SPGR_LR","CFK08",0,"R1","CD3",24.55597,-81.35743,2206811
"FLK",1189,1,2024,10,1,"SPGR_MR","CFK09",0,"R4","CD3",24.56457,-81.32234,2240394
"FLK",1215,1,2024,10,1,"SPGR_MR","CFK09",0,"R4","CD3",24.60286,-81.18415,2401916
"FLK",1074,1,2024,10,1,"ISOL_LR","CFK03",0,"R4","CD0",24.57825,-81.28482,2295628
"FLK",1801,1,2024,10,1,"SPGR_LR","CFK04",0,"R2","CD1",24.64,-81.06656,2572990
"FLK",1566,1,2024,10,1,"SPGR_LR","CFK07",0,"R4","CD2",24.63583,-81.07148,2554500
"FLK",1240,1,2024,10,1,"SPGR_MR","CFK09",0,"R4","CD3",24.61783,-81.1278,2470872
"FLK",1005,1,2024,10,1,"ISOL_LR","CFK01",0,"R1","CD0",24.75144,-80.92049,3048237
"FLK",1209,1,2024,10,2,"SPGR_HR","CFK09",0,"R4","CD3",24.65609,-81.0033,2643962
"FLK",1565,1,2024,10,2,"SPGR_MR","CFK07",0,"R4","CD2",24.66663,-80.98309,2688599
"FLK",1193,1,2024,10,2,"ISOL_MR","CFK09",0,"R4","CD3",24.67686,-80.94236,2732733
"FLK",1120,1,2024,10,2,"SPGR_LR","CFK06",0,"R1","CD2",24.67654,-80.94989,2730818
"FLK",1354,1,2024,10,2,"CONT_MR","CFK07",1,"R4","CD2",24.6819,-80.97296,2753579
"FLK",1325,1,2024,10,2,"CONT_LR","CFK04",1,"R2","CD1",24.68322,-80.97264,2759252
"FLK",1033,1,2024,10,2,"ISOL_MR","CFK02",0,"R4","CD0",24.70397,-80.99337,2846894
"FLK",1073,1,2024,10,2,"ISOL_MR","CFK03",0,"R4","CD0",24.69768,-80.95923,2820143
"FLK",1246,1,2024,11,12,"CONT_MR","CFK09",0,"R4","CD3",25.67087,-80.08851,4125456
"FLK",1803,1,2024,11,12,"CONT_LR","CFK09",0,"R4","CD3",25.73257,-80.08905,4148488
"FLK",1233,1,2024,11,12,"CONT_MR","CFK07",0,"R4","CD2",25.72458,-80.09912,4145588
