analysis_group,SPECIES_CD,n,Lbar,YEAR,SE_L,cv_L,L_LCI,L_UCI
MIR_GRP,OCU DIFF,98,14,2022,6.208537E-17,4.434669E-18,14,14
MIR_GRP,OCU SPE.,98,18,2022,2.318501E-16,1.288056E-17,18,18
MIR_GRP,ORB ANNU,98,34.548592507,2022,5.4782947378,0.1585678125,23.668226288,45.428958726
MIR_GRP,ORB FAVE,98,45.057633389,2022,8.5710287363,0.1902236778,28.034830494,62.080436285
MIR_GRP,ORB FRAN,98,37.752043597,2022,0.3885100265,0.0102910992,36.980429149,38.523658044
MIR_GRP,PHY AMER,98,,2022,0,,,
MIR_GRP,POR ASTR,98,12.790294927,2022,0.9903946951,0.0774332962,10.823285575,14.75730428
MIR_GRP,POR BRAN,98,,2022,0,,,
MIR_GRP,POR DIVA,98,,2022,0,,,
MIR_GRP,POR FURC,98,15.788552575,2022,1.1563794563,0.0732416383,13.491883159,18.08522199
MIR_GRP,POR PORI,98,10.779669604,2022,0.5600314499,0.0519525617,9.6673988043,11.891940404
MIR_GRP,POR SPE.,98,,2022,0,,,
MIR_GRP,PSE CLIV,98,22.87396221,2022,4.0606360863,0.1775221997,14.809188441,30.938735979
MIR_GRP,PSE STRI,98,21.287085293,2022,3.6397079758,0.1709819792,14.058311085,28.515859501
MIR_GRP,SCO CUBE,98,,2022,0,,,
MIR_GRP,SCO LACE,98,,2022,0,,,
MIR_GRP,SCO SPE.,98,,2022,0,,,
MIR_GRP,SID RADI,98,7.0060052413,2022,0.5732115022,0.0818171672,5.8675577201,8.1444527624
MIR_GRP,SID SIDE,98,20.384446343,2022,1.3912348946,0.068249825,17.621333755,23.147558931
MIR_GRP,SID SPE.,98,,2022,0,,,
MIR_GRP,SOL BOUR,98,32.327850957,2022,6.1519817191,0.1902997427,20.109484242,44.546217672
MIR_GRP,SOL HYAD,98,,2022,0,,,
MIR_GRP,STE INTE,98,15.506439833,2022,2.4911709902,0.1606539616,10.558759216,20.45412045
NCRMP_GRP,ACR CERV,243,26.662217908,2022,1.3202289316,0.0495168458,24.061335214,29.263100603
NCRMP_GRP,ACR PALM,243,,2022,0,,,
NCRMP_GRP,AGA AGAR,243,8.3101220401,2022,0.8450274306,0.1016865248,6.6453977123,9.9748463679
NCRMP_GRP,AGA FRAG,243,7.5129423484,2022,1.1218396521,0.1493209451,5.302891298,9.7229933989
NCRMP_GRP,AGA HUMI,243,8.843899571,2022,0.7131331347,0.0806355985,7.439010173,10.248788969
NCRMP_GRP,AGA LAMA,243,9.014170224,2022,1.0163695408,0.1127524237,7.0118978253,11.016442623
NCRMP_GRP,AGA SPE.,243,7,2022,4.210675E-17,6.01525E-18,7,7
NCRMP_GRP,CLA ABRU,243,5.6666666667,2022,0.0123218767,0.0021744488,5.6423922738,5.6909410596
NCRMP_GRP,COL NATA,243,38.572696135,2022,7.1249515453,0.1847148957,24.536370518,52.609021752
NCRMP_GRP,DIC STOK,243,8.1856845287,2022,0.7927060722,0.0968405354,6.6240345333,9.7473345241
NCRMP_GRP,DIP LABY,243,11.140372147,2022,2.0184171495,0.1811804061,7.1640418993,15.116702394
NCRMP_GRP,EUS FAST,243,7.4867061586,2022,0.9357463864,0.1249877271,5.6432633097,9.3301490074
NCRMP_GRP,FAV FRAG,243,5,2022,4.15425E-17,8.3085E-18,5,5
NCRMP_GRP,HEL CUCU,243,6.7456930808,2022,0.1620925753,0.0240290469,6.4263668156,7.0650193459
NCRMP_GRP,ISO RIGI,243,22,2022,8.601036E-16,3.909562E-17,22,22
NCRMP_GRP,ISO SPE.,243,,2022,0,,,
NCRMP_GRP,MAD AURE,243,,2022,0,,,
NCRMP_GRP,MAD DECA,243,14.562529603,2022,1.454416882,0.0998739176,11.697293424,17.427765782
NCRMP_GRP,MAD FORM,243,,2022,0,,,
NCRMP_GRP,MAD SENA,243,,2022,0,,,
NCRMP_GRP,MAN AREO,243,6.1172132345,2022,0.1666844507,0.027248429,5.7888408643,6.4455856046
NCRMP_GRP,MEA MEAN,243,20.580500344,2022,10.26631968,0.498837225,0.3556040753,40.805396613
NCRMP_GRP,MON CAVE,243,29.386658074,2022,3.5912434346,0.1222065954,22.311822281,36.461493867
NCRMP_GRP,MUS ANGU,243,21.440287733,2022,2.4031627877,0.1120863124,16.70599934,26.174576126
NCRMP_GRP,MYC ALIC,243,13.733228058,2022,0.8393307306,0.0611167838,12.079726366,15.38672975
NCRMP_GRP,MYC FERO,243,8,2022,0,0,8,8
NCRMP_GRP,MYC LAMA,243,10.793520896,2022,1.0103017137,0.0936026088,8.8032022625,12.78383953
NCRMP_GRP,OCU DIFF,243,6,2022,9.55325E-17,1.592208E-17,6,6
NCRMP_GRP,OCU SPE.,243,,2022,0,,,
NCRMP_GRP,ORB ANNU,243,68.872148237,2022,8.7547647402,0.1271161851,51.625051494,86.119244981
NCRMP_GRP,ORB FAVE,243,62.02894362,2022,3.6424970535,0.0587225389,54.853136967,69.204750274
NCRMP_GRP,ORB FRAN,243,47.612629371,2022,8.026619178,0.1685817247,31.799996868,63.425261874
NCRMP_GRP,PHY AMER,243,4,2022,0,0,4,4
NCRMP_GRP,POR ASTR,243,11.000937055,2022,0.6218223785,0.056524492,9.7759320396,12.225942071
NCRMP_GRP,POR BRAN,243,6.6236337605,2022,0.0472103082,0.0071275541,6.5306283199,6.7166392011
NCRMP_GRP,POR DIVA,243,12.501872075,2022,1.0955384953,0.0876299556,10.343634935,14.660109215
NCRMP_GRP,POR FURC,243,11.004630869,2022,1.6767430595,0.1523670425,7.7014067827,14.307854956
NCRMP_GRP,POR PORI,243,10.057484115,2022,0.5643193455,0.0561093947,8.9457614544,11.169206775
NCRMP_GRP,POR SPE.,243,6,2022,5.04952E-17,8.415867E-18,6,6
NCRMP_GRP,PSE CLIV,243,25.195485419,2022,1.5787045135,0.0626582297,22.085399622,28.305571216
NCRMP_GRP,PSE STRI,243,13.293280211,2022,1.4184080147,0.1067011296,10.498982365,16.087578056
NCRMP_GRP,SCO CUBE,243,5.5,2022,0.101474631,0.0184499329,5.3000925404,5.6999074596
NCRMP_GRP,SCO LACE,243,4.5511595068,2022,0.1718638962,0.0377626616,4.2125835049,4.8897355088
NCRMP_GRP,SCO SPE.,243,5,2022,9.264307E-17,1.852861E-17,5,5
NCRMP_GRP,SID RADI,243,7.1859631635,2022,0.3865918749,0.0537981988,6.4243678877,7.9475584393
NCRMP_GRP,SID SIDE,243,16.347363513,2022,0.9434519091,0.057712787,14.488740599,18.205986426
NCRMP_GRP,SID SPE.,243,,2022,0,,,
NCRMP_GRP,SOL BOUR,243,16.151371524,2022,0.9921753347,0.0614297884,14.196762293,18.105980756
NCRMP_GRP,SOL HYAD,243,5.6,2022,0.0277020343,0.0049467918,5.5454263274,5.6545736726
NCRMP_GRP,STE INTE,243,12.157940712,2022,0.694014589,0.0570832352,10.790715308,13.525166116
