analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
NCRMP_GRP,AGA AGAR,243,6.3565763143,2022,0.8134732704,0.1279734924,4.7540144398,7.9591381888,Bleach_all
NCRMP_GRP,AGA FRAG,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,AGA HUMI,243,3.2864135195,2022,0.708858651,0.2156936876,1.889944957,4.682882082,Bleach_all
NCRMP_GRP,AGA LAMA,243,0.2848510648,2022,0.1014481112,0.3561443986,0.08499585,0.4847062796,Bleach_all
NCRMP_GRP,AGA SPE.,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,CLA ABRU,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,COL NATA,243,0.1871460284,2022,0.1264287953,0.6755622676,-0.061921734,0.4362137907,Bleach_all
NCRMP_GRP,DIC STOK,243,0.109613984,2022,0.0624528533,0.5697526077,-0.013419636,0.2326476045,Bleach_all
NCRMP_GRP,DIP LABY,243,0.1723110906,2022,0.1531504707,0.8888021669,-0.129399014,0.4740211951,Bleach_all
NCRMP_GRP,EUS FAST,243,0.7186380949,2022,0.290667132,0.404469418,0.1460168658,1.2912593241,Bleach_all
NCRMP_GRP,FAV FRAG,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,HEL CUCU,243,2.0280091668,2022,0.2925039064,0.1442320435,1.451769448,2.6042488856,Bleach_all
NCRMP_GRP,ISO RIGI,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,ISO SPE.,243,,2022,0,,,,Bleach_all
NCRMP_GRP,MAD AURE,243,,2022,0,,,,Bleach_all
NCRMP_GRP,MAD DECA,243,0.1354116635,2022,0.0766477181,0.5660348308,-0.015586181,0.2864095084,Bleach_all
NCRMP_GRP,MAD FORM,243,,2022,0,,,,Bleach_all
NCRMP_GRP,MAD SENA,243,,2022,0,,,,Bleach_all
NCRMP_GRP,MAN AREO,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,MEA MEAN,243,0.1988340284,2022,0.0897940225,0.4516028929,0.0219376482,0.3757304087,Bleach_all
NCRMP_GRP,MON CAVE,243,0.8526153727,2022,0.2053852537,0.2408885181,0.4480014916,1.2572292538,Bleach_all
NCRMP_GRP,MUS ANGU,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,MYC ALIC,243,0.0782298125,2022,0.0368092634,0.4705273125,0.0057146797,0.1507449453,Bleach_all
NCRMP_GRP,MYC FERO,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,MYC LAMA,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,OCU DIFF,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,OCU SPE.,243,,2022,0,,,,Bleach_all
NCRMP_GRP,ORB ANNU,243,1.3428797863,2022,0.2240114713,0.1668142402,0.9015718093,1.7841877632,Bleach_all
NCRMP_GRP,ORB FAVE,243,0.3185470168,2022,0.0826309342,0.2593994915,0.1557620925,0.4813319411,Bleach_all
NCRMP_GRP,ORB FRAN,243,0.3564480131,2022,0.1494648265,0.4193173225,0.0619987163,0.6508973099,Bleach_all
NCRMP_GRP,PHY AMER,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,POR ASTR,243,0.9441916956,2022,0.1840611258,0.1949404201,0.5815868584,1.3067965328,Bleach_all
NCRMP_GRP,POR BRAN,243,2.9271571743,2022,0.0641851315,0.0219274633,2.8007109241,3.0536034244,Bleach_all
NCRMP_GRP,POR DIVA,243,4.0822830322,2022,1.3526125791,0.3313372856,1.4176037746,6.7469622897,Bleach_all
NCRMP_GRP,POR FURC,243,3.914053826,2022,1.2833441065,0.3278810572,1.3858351225,6.4422725295,Bleach_all
NCRMP_GRP,POR PORI,243,2.2482694012,2022,0.4000687659,0.1779452079,1.4601243266,3.0364144759,Bleach_all
NCRMP_GRP,POR SPE.,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,PSE CLIV,243,0.0325283591,2022,0.0132473019,0.4072539252,0.0064308562,0.058625862,Bleach_all
NCRMP_GRP,PSE STRI,243,0.8668204928,2022,0.3989832375,0.4602835776,0.0808139351,1.6528270505,Bleach_all
NCRMP_GRP,SCO CUBE,243,0.5,2022,0.101474631,0.2029492621,0.3000925404,0.6999074596,Bleach_all
NCRMP_GRP,SCO LACE,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,SCO SPE.,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,SID RADI,243,0.8602975357,2022,0.2537543717,0.2949611746,0.3603953308,1.3601997407,Bleach_all
NCRMP_GRP,SID SIDE,243,5.5563018375,2022,0.6770005935,0.1218437395,4.2225944133,6.8900092617,Bleach_all
NCRMP_GRP,SID SPE.,243,,2022,0,,,,Bleach_all
NCRMP_GRP,SOL BOUR,243,0.8503317602,2022,0.4719204206,0.5549838812,-0.079362799,1.7800263197,Bleach_all
NCRMP_GRP,SOL HYAD,243,0,2022,0,,0,0,Bleach_all
NCRMP_GRP,STE INTE,243,2.0191943327,2022,0.3656341141,0.1810792098,1.2988863489,2.7395023165,Bleach_all
